key,price,total_area,living_area,kitchen_area,land,floor_number,total_floors,year,bedrooms_number,passenger_lifts_number,cargo_lifts_number,material_type,balconies_number,loggias_number,lng,lat,underground
https://www.cian.ru/sale/flat/251870674/,27798580,88.7,,,0,12,58,2021,,3,2,monolith,,,37.578316,55.808634,True
https://www.cian.ru/sale/flat/263173896/,21750300,64.35,,,0,8,55,2024,,,,monolith,,,37.6227924708846,55.800053779487,True
https://www.cian.ru/sale/flat/263644705/,33435463,56.7,,,0,31,41,2023,,2,2,monolithBrick,,,37.5411203053811,55.7325401118911,False
https://www.cian.ru/sale/flat/263173858/,41137030,112.09,,,0,47,55,2024,,,,monolith,,,37.6227924708846,55.800053779487,True
https://www.cian.ru/sale/flat/263235780/,20390840,71.9,28.3,18.5,0,12,22,2024,,1,1,monolith,,,37.6873005991041,55.7504862350002,True
https://www.cian.ru/sale/flat/262854297/,23000000,52.0,,,0,16,32,2017,,3,,monolith,,,37.46843686375416,55.78124464761598,False
https://www.cian.ru/sale/flat/254646528/,25259280,98.4,56.5,14.6,0,25,27,2023,,,3,monolith,,,37.705383539379,55.750805074746,True
https://vidnoye.cian.ru/sale/flat/263387850/,9521671,87.1,50.4,5.9,0,8,17,2023,,1,1,monolith,1,,37.8240893756394,55.5268290034006,False
https://www.cian.ru/sale/flat/263644707/,39429123,77.5,,,0,31,41,2023,,2,2,monolithBrick,,,37.5411203053811,55.7325401118911,False
https://www.cian.ru/sale/flat/250211712/,32643522,112.4,54.2,,0,2,12,2022,,,,monolith,,,37.402659,55.829674,True
https://www.cian.ru/sale/flat/256941871/,102501000,252.0,185.1,16.3,0,46,47,2023,,,,monolith,,,37.5221004672493,55.6563837169842,True
https://www.cian.ru/sale/flat/263284573/,26550000,96.19,52.9,5.7,0,28,28,2023,,,,monolith,,,37.7402135618318,55.8137067826208,True
https://www.cian.ru/sale/flat/263236002/,50555050,143.5,53.2,27.8,0,8,23,2024,,1,2,monolith,,1,37.4547468305196,55.744441286834,False
https://www.cian.ru/sale/flat/260900241/,28009628,81.8,60.9,4.3,0,3,33,2023,,1,1,monolith,,,37.5171219828031,55.760426775043,True
https://www.cian.ru/sale/flat/251863430/,36547627,91.99,57.4,8.8,0,7,14,2023,,2,2,monolith,,,37.4966813378149,55.7161323592098,False
https://www.cian.ru/sale/flat/254287161/,40868850,101.4,,,0,4,31,2021,,1,2,monolith,,,37.5112387268725,55.7439228557091,True
https://www.cian.ru/sale/flat/260586118/,89727379,148.5,65.5,42.8,0,8,8,2021,,,,monolith,,,37.6130937632274,55.7133781550864,True
https://www.cian.ru/sale/flat/263173860/,36625680,108.36,,,0,47,55,2024,,,,monolith,,,37.6227924708846,55.800053779487,True
https://www.cian.ru/sale/flat/248605272/,24588720,85.2,25.6,33.4,0,19,26,2023,,,3,monolith,,,37.706613,55.750839,True
https://www.cian.ru/sale/flat/263135748/,55802875,158.4,67.4,46.1,0,11,12,2021,,1,1,monolith,,1,37.606568,55.707857,True
https://www.cian.ru/sale/flat/232199390/,26743165,97.7,48.2,35.2,0,13,25,2022,,1,1,monolith,,,37.4119946466502,55.8255052754712,False
https://www.cian.ru/sale/flat/262716158/,138891383,254.5,90.0,21.9,0,8,11,2021,,1,1,monolith,1,,37.4837298831606,55.6924687926246,True
https://vidnoye.cian.ru/sale/flat/263449569/,5613195,50.63,27.3,10.1,0,17,17,2023,,1,1,monolith,,,37.8240893756394,55.5268290034006,False
https://odintsovo.cian.ru/sale/flat/261548952/,27831451,122.6,111.5,,0,3,4,2019,,,,monolith,,,37.2875844489458,55.74382787595,False
https://www.cian.ru/sale/flat/260689241/,17622385,61.9,26.4,,0,11,28,2022,,,,monolith,,,37.401734,55.829952,True
https://www.cian.ru/sale/flat/262091418/,33301660,110.6,65.6,18.7,0,2,41,2024,,,4,monolith,,,37.5112592499843,55.7644364777214,True
https://www.cian.ru/sale/flat/263119690/,17098752,58.08,,,0,10,36,2022,,2,1,monolith,,,37.54669328666869,55.86017355874568,True
